Name,StartTime,EndTime,Duration(s),Id,ParentId,RootId,fileName,project,qualifiedNameOfFile,userOpName,length,cache,cpuDelta(s),realDelta(s),gc0,gc1,gc2,outputDllFile,buildPhase
Write Blob Stream,14-33-37.1953,14-33-37.1953,000.0001,00-9212f3c7ffe6798535539afb4c601e17-3d88a81dcf4dcdf2-00,00-9212f3c7ffe6798535539afb4c601e17-b25eb249b90d142c-00,9212f3c7ffe6798535539afb4c601e17,,,,,,,,,,,,,
Fixup Metadata,14-33-37.1954,14-33-37.1959,000.0005,00-9212f3c7ffe6798535539afb4c601e17-57b015c50af530bd-00,00-9212f3c7ffe6798535539afb4c601e17-b25eb249b90d142c-00,9212f3c7ffe6798535539afb4c601e17,,,,,,,,,,,,,
Generated IL and metadata,14-33-37.1959,14-33-37.1977,000.0018,00-9212f3c7ffe6798535539afb4c601e17-85af20dd6a309b98-00,00-9212f3c7ffe6798535539afb4c601e17-b25eb249b90d142c-00,9212f3c7ffe6798535539afb4c601e17,,,,,,,,,,,,,
Layout image,14-33-37.1978,14-33-37.2037,000.0059,00-9212f3c7ffe6798535539afb4c601e17-d57b70c10554bb4b-00,00-9212f3c7ffe6798535539afb4c601e17-b25eb249b90d142c-00,9212f3c7ffe6798535539afb4c601e17,,,,,,,,,,,,,
Writing Image,14-33-37.2038,14-33-37.2053,000.0015,00-9212f3c7ffe6798535539afb4c601e17-d2b94c7b9eb5c2cc-00,00-9212f3c7ffe6798535539afb4c601e17-b25eb249b90d142c-00,9212f3c7ffe6798535539afb4c601e17,,,,,,,,,,,,,
Signing Image,14-33-37.2053,14-33-37.2053,000.0000,00-9212f3c7ffe6798535539afb4c601e17-795d0fc01c72e814-00,00-9212f3c7ffe6798535539afb4c601e17-b25eb249b90d142c-00,9212f3c7ffe6798535539afb4c601e17,,,,,,,,,,,,,
Write Started,14-33-37.2056,14-33-37.2065,000.0009,00-9212f3c7ffe6798535539afb4c601e17-0dd97ec4bf430709-00,00-9212f3c7ffe6798535539afb4c601e17-b25eb249b90d142c-00,9212f3c7ffe6798535539afb4c601e17,,,,,,,,,,,,,
Module Generation Preparation,14-33-37.2065,14-33-37.2066,000.0001,00-9212f3c7ffe6798535539afb4c601e17-545c943dcb67b2c5-00,00-9212f3c7ffe6798535539afb4c601e17-b25eb249b90d142c-00,9212f3c7ffe6798535539afb4c601e17,,,,,,,,,,,,,
Module Generation Pass 1,14-33-37.2067,14-33-37.2081,000.0014,00-9212f3c7ffe6798535539afb4c601e17-56a2341f7cee7a78-00,00-9212f3c7ffe6798535539afb4c601e17-b25eb249b90d142c-00,9212f3c7ffe6798535539afb4c601e17,,,,,,,,,,,,,
Module Generation Pass 2,14-33-37.2081,14-33-37.2278,000.0197,00-9212f3c7ffe6798535539afb4c601e17-a6f0d744be420df5-00,00-9212f3c7ffe6798535539afb4c601e17-b25eb249b90d142c-00,9212f3c7ffe6798535539afb4c601e17,,,,,,,,,,,,,
Module Generation Pass 3,14-33-37.2279,14-33-37.2286,000.0008,00-9212f3c7ffe6798535539afb4c601e17-4fc27a157c59546d-00,00-9212f3c7ffe6798535539afb4c601e17-b25eb249b90d142c-00,9212f3c7ffe6798535539afb4c601e17,,,,,,,,,,,,,
